SMILES,cat_1_id,cat_2_id
CCCOc1ccc(C[N+](C)(C)C)cc1C(=O)OC,13362,13362
CCCOc1ccc(CON2C(=O)c3ccccc3C2=O)cc1Cl,13364,13364
CC(=O)OCC1O[C@H](C(OC(C)=O)C(OC(C)=O)[C@H]1OC(C)=O)n1cnc2[nH]ncc2c1=O,13366,13366
CCCCCOC(=O)CCc1c(C)nc(N)nc1O,13368,13368
Cc1nc(N)[nH]c(=O)c1Cc1cccc2ccccc12,13370,13370
CCCCCSc1nc(C)cc(O)n1,13372,13372
COc1ccc(Cn2c(=O)cnn([C@@H]3OC(COC(C)=O)[C@@H](OC(C)=O)C(OC(C)=O)C3OC(C)=O)c2=O)cc1[N+]([O-])=O,13374,13374
COc1ccc(CO\N=C/c2c(C)[nH]c(=O)[nH]c2=O)cc1,13376,13376
CCCCCCCc1c(C)nc(N)[nH]c1=O,13378,13378
CC(C)CCc1c(C)[nH]c(=S)[nH]c1=O,13380,13380
CCCCCCCc1c(C)[nH]c(=S)[nH]c1=O,13382,13382
CC(C)CCc1c(C)[nH]c(=O)[nH]c1=O,13384,13384
CCCCCCCc1c(C)[nH]c(=O)[nH]c1=O,13386,13386
CC(C)CCc1c(C)nc(C)[nH]c1=O,13388,13388
CCCCCCCc1c(C)nc(C)[nH]c1=O,13390,13390
CC(C)CCc1c(C)nc([nH]c1=O)-c1ccccc1,13392,13392
CCCCCCCc1c(C)nc([nH]c1=O)-c1ccccc1,13394,13394
CC(C)CCOC(=O)\C=C\c1c(C)[nH]c(=O)[nH]c1=O,13396,13396
OC(=O)Cc1c(O)nc2ccccn2c1=O,13398,13398
COC(=O)Cc1c(O)nc2ccccn2c1=O,13400,13400
CCOC(=O)Cc1c(O)nc2ccccn2c1=O,13402,13402
CCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13404,13404
CCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13406,13406
CC(C)COC(=O)Cc1c(O)nc2ccccn2c1=O,13408,13408
CCCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13410,13410
CC(C)CCOC(=O)Cc1c(O)nc2ccccn2c1=O,13412,13412
CCCCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13414,13414
CCCCCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13416,13416
CCCCCCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13418,13418
CCCCCCCCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,13420,13420
COC(=O)CCc1c(O)nc2ccccn2c1=O,13422,13422
CCOC(=O)CCc1c(O)nc2ccccn2c1=O,13424,13424
CCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13426,13426
CCCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13428,13428
CCCCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13430,13430
CC(C)CCOC(=O)CCc1c(O)nc2ccccn2c1=O,13432,13432
CCCCCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13434,13434
CCCCCCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13436,13436
CCCCCCCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13438,13438
CCCCCCCCCCOC(=O)CCc1c(O)nc2ccccn2c1=O,13440,13440
CC(C)CCc1c(C)nc(N)[nH]c1=O,13442,13442
CCOc1ccc(CSc2nc(C)c(CCC(O)=O)c(=O)[nH]2)cc1,13444,13444
CCOc1ccc(CSc2nc(C)c(C(C)C(O)=O)c(=O)[nH]2)cc1,13446,13446
ClCCC(=O)N(C(C#N)c1ccc(Br)cc1)c1ccccc1,13462,13462
Cc1ccccc1N1C(=O)CCC1(C#N)c1ccc(Br)cc1,13464,13464
Cc1ccc(cc1)N(C(C#N)c1ccc(Br)cc1)C(=O)CCCl,13466,13466
Cc1ccccc1NC(C#N)c1ccc(OCc2ccccc2)cc1,13468,13468
N#CC(NCc1ccccc1)c1ccc(OCc2ccccc2)cc1,13470,13470
Cc1ccc(NC(C#N)c2ccc(OCc3ccccc3)cc2)cc1,13472,13472
N#CC(NCc1ccccc1)c1ccccc1OCc1ccccc1,13474,13474
Cc1ccc(NC(C#N)c2ccccc2OCc2ccccc2)cc1,13476,13476
COc1ccccc1NC(=O)C1(CCC(=O)N1Cc1ccccc1)c1ccccc1,13478,13478
Cc1ccc(NC(=O)C2(CCC(=O)N2Cc2ccccc2)c2ccccc2)cc1,13480,13480
ClCCCNC(C#N)c1ccccc1,13482,13482
N#CC(NCc1ccccc1)c1ccco1,13483,13483
COc1ccc(cc1)N(C(C#N)c1ccc(OCc2ccccc2)cc1)C(=O)CCCl,13485,13485
ClCCC(=O)N(C(C#N)c1ccccc1OCc1ccccc1)c1ccccc1,13487,13487
ClCCC(=O)N(Cc1ccccc1)C(C#N)c1ccccc1OCc1ccccc1,13489,13489
Cc1ccccc1N(C(C#N)c1ccccc1OCc1ccccc1)C(=O)CCCl,13491,13491
Cc1ccc(cc1)N(C(C#N)c1ccccc1OCc1ccccc1)C(=O)CCCl,13493,13493
ClCC(=O)N(C(C#N)c1ccccc1OCc1ccccc1)c1ccccc1,13495,13495
ClCC(=O)N(Cc1ccccc1)C(C#N)c1ccccc1OCc1ccccc1,13497,13497
Cc1ccc(cc1)N(C(C#N)c1ccccc1OCc1ccccc1)C(=O)CCl,13499,13499
Cc1ccc(cc1)N(C(C#N)c1ccc(OCc2ccccc2)cc1)C(=O)CCl,13501,13501
CCCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13503,13503
COc1ccc2c(c1)sc1nc(O)c(CC(C)C)c(=O)n21,13505,13505
CCCCCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13507,13507
COc1ccc2c(c1)sc1nc(O)c(CCC(C)C)c(=O)n21,13509,13509
CCCCCCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13511,13511
CCCCCCCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13513,13513
CCCCCCCCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13515,13515
CCCCCCCCCCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13517,13517
COc1ccc2c(c1)sc1nc(O)c(Cc3ccccc3)c(=O)n21,13519,13519
COc1ccc2c(c1)sc1nc(O)c(Cc3ccc(C)cc3C)c(=O)n21,13521,13521
COc1ccc2c(c1)sc1nc(O)c(Cc3cc(C)ccc3C)c(=O)n21,13523,13523
CCOc1ccc(Cc2c(O)nc3sc4cc(OC)ccc4n3c2=O)cc1,13525,13525
COc1ccc2c(c1)sc1nc(O)c(Cc3cccc4ccccc34)c(=O)n21,13527,13527
COc1ccc2c(c1)sc1nc(O)c(CC=C)c(=O)n21,13529,13529
COc1ccc2c(c1)sc1nc(O)c(CC(C)=C)c(=O)n21,13531,13531
CCOC(=O)Cc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13533,13533
CCOC(=O)CCc1c(O)nc2sc3cc(OC)ccc3n2c1=O,13535,13535
COc1ccc2c(c1)sc1nc(O)c(CC(O)=O)c(=O)n21,13537,13537
COc1ccc2c(c1)sc1nc(O)c(CCC(O)=O)c(=O)n21,13539,13539
CC(C)C1Cc2c(CO1)sc1nc(SCC(=O)Nc3ccc(Cl)cc3)n(CC=C)c(=O)c21,13541,13541
COc1ccccc1NC(=O)CSc1nnc2c3c4CCCCc4sc3nc(SC)n12,13543,13543
CC(C)C1Cc2c(CO1)sc1c2c(=O)n(-c2ccccc2)c2nnc(SC(C)C(=O)N3CCOCC3)n12,13545,13545
CC(C)C1Cc2c(CO1)sc1c2c(=O)n(-c2cccc(C)c2)c2nnc(SCc3ccc(C)c(C)c3)n12,13547,13547
CC(C)C1Cc2c(CO1)sc1nc(C)n3c(SCC(=O)N(c4ccccc4)c4ccccc4)nnc3c21,13549,13549
CC(Cl)=CCSc1nnc2n(CCc3ccccc3)c(=O)c3c4CCCCc4sc3n12,13551,13551
Clc1ccc(CSc2nnc3n(CCc4ccccc4)c(=O)c4c5CCCCc5sc4n23)cc1Cl,13553,13553
CCC1(C)CC2=C(CO1)Cc1c(N2)nc(SCC=C)n(-c2ccccc2)c1=O,13555,13555
CCCCCCCSc1nc2sc3CCCCc3c2c(=O)n1-c1cccc(C)c1,13557,13557
CC1CCCc2sc3[nH]c(=S)n(-c4ccccc4)c(=O)c3c12,13559,13559
CC1CCc2sc(NC(=O)\C=C/C(O)=O)c(C#N)c2C1,13561,13561
CC1CCCc2sc3[nH]c(=S)n(-c4ccc(C)cc4)c(=O)c3c12,13563,13563
CCOC(=O)c1c(NC(=O)\C=C/C(O)=O)sc2CCCC(C)c12,13565,13565
CC(C)(C)C1CCc2c(C1)sc(NC(=O)\C=C/C(O)=O)c2C#N,13567,13567
CCCCCCCSc1nnc2n(-c3ccccc3)c(=O)c3c4CC(OCc4sc3n12)C(C)C,13569,13569
CCCCCCCc1nnc2c3c4CC(OCc4sc3nc(SC)n12)C(C)C,13573,13573
C\C(Cl)=C/CSc1nc2sc3CCCc3c2c(=O)n1-c1cccc(C)c1,13575,13575
CC(Cl)CSc1nc2sc3COC(Cc3c2c(=O)n1-c1cccc(C)c1)C(C)C,13577,13577
COc1ccc(cc1)-n1c2nnc(SCC(=O)c3ccc(Br)cc3)n2c2sc3COC(Cc3c2c1=O)C(C)C,13579,13579
CCN(CC)C(=O)CSc1nnc2n(Cc3ccccc3)c(=O)c3c4CC(C)(C)OCc4sc3n12,13581,13581
